SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
BASHA ELEMENTARY,MARICOPA,72,0.903
BASIS - FLAGSTAFF,COCONINO,55,0.909
BASIS - MESA,MARICOPA,68,0.926
BASIS - ORO VALLEY PRIMARY,PIMA,80,0.988
BASIS - PEORIA PRIMARY,MARICOPA,134,0.955
BASIS - PHOENIX PRIMARY,MARICOPA,108,0.907
BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,MARICOPA,92,0.946
BASIS - TUCSON MIDDLE SCHOOL,PIMA,149,0.973
BASIS CHANDLER PRIMARY NORTH CAMPUS,MARICOPA,107,0.907
BASIS CHANDLER PRIMARY SOUTH CAMPUS,MARICOPA,95,0.979
BASIS GOODYEAR,MARICOPA,93,0.849
BASIS PHOENIX CENTRAL PRIMARY,MARICOPA,30,0.933
BASIS PHOENIX NORTH,MARICOPA,42,0.881
BASIS PHOENIX SOUTH PRIMARY SCHOOL,MARICOPA,55,0.836
BASIS PRESCOTT,YAVAPAI,64,0.828
BASIS SCOTTSDALE PRIMARY,MARICOPA,67,0.955
BAYER PRIVATE SCHOOL,MARICOPA,38,0.921
BEAVER CREEK SCHOOL,YAVAPAI,42,0.786
BELEN SOTO ELEMENTARY SCHOOL,MARICOPA,94,0.904
BELLA VISTA ELEMENTARY SCHOOL,COCHISE,27,1.0
BELLAIR ELEMENTARY SCHOOL,MARICOPA,25,0.84
BENCHMARK SCHOOL,MARICOPA,30,0.667
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,MARICOPA,126,0.754
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,MARICOPA,99,0.758
BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,MARICOPA,90,0.733
BENSON PRIMARY SCHOOL,COCHISE,71,0.761
BERNARD BLACK ELEMENTARY,MARICOPA,59,0.847
BICENTENNIAL SOUTH SCHOOL,MARICOPA,71,0.789
BILTMORE PREPARATORY ACADEMY,MARICOPA,84,0.929
BLACK MOUNTAIN ELEMENTARY SCHOOL - CAVE CREEK,MARICOPA,62,0.806
BLACK MOUNTAIN ELEMENTARY SCHOOL - GOLDEN VALLEY,MOHAVE,41,0.659
BLAKE PRIMARY SCHOOL,LA PAZ,106,0.887
BLENMAN ELEMENTARY SCHOOL,PIMA,42,1.0
BLOOM ELEMENTARY SCHOOL,PIMA,53,0.962
BLUE RIDGE ELEMENTARY SCHOOL,NAVAJO,110,0.836
BONILLAS ELEMENTARY BASIC CURRICULUM MAGN,PIMA,57,0.947
BORMAN ELEMENTARY SCHOOL,PIMA,64,0.969
BORTON PRIMARY MAGNET SCHOOL,PIMA,50,0.94
BOULDER CREEK ELEMENTARY - 85024,MARICOPA,92,0.967
BOULDER CREEK ELEMENTARY - 85212,MARICOPA,50,0.94
BRAVIE T SOTO ELEMENTARY,YUMA,22,1.0
BRET TARVER ELEMENTARY,MARICOPA,80,0.938
BRIDGES ELEMENTARY SCHOOL,MARICOPA,106,0.896
BROADMOR ELEMENTARY SCHOOL,MARICOPA,91,0.945
BRUNSON-LEE ELEMENTARY SCHOOL,MARICOPA,54,0.926
BUCKEYE PRIMARY SCHOOL,MARICOPA,93,0.892
BURK ELEMENTARY SCHOOL,MARICOPA,45,0.911
BURKE BASIC SCHOOL,MARICOPA,104,0.933
BUTTERFIELD ELEMENTARY SCHOOL - MARICOPA,PINAL,138,0.87
BUTTERFIELD ELEMENTARY SCHOOL - TUCSON,PIMA,54,0.944
C E ROSE ELEMENTARY SCHOOL,PIMA,66,0.97
C I WAGGONER SCHOOL,MARICOPA,60,0.95
C J JORGENSEN SCHOOL,MARICOPA,24,1.0
C W MCGRAW ELEMENTARY SCHOOL,YUMA,76,0.855
CACTUS VIEW ELEMENTARY SCHOOL,MARICOPA,68,0.926
CACTUS WREN ELEMENTARY SCHOOL,MARICOPA,48,0.958
CALABASAS SCHOOL,SANTA CRUZ,69,1.0
CALIBRE ACADEMY SURPRISE,MARICOPA,71,0.62
CALVARY CHAPEL CHRISTIAN SCHOOL,PIMA,20,0.8
CALVARY CHRISTIAN ACADEMY,MOHAVE,35,0.543
CAMBRIDGE ACADEMY - MESA CAMPUS,MARICOPA,49,0.776
CAMELBACK ACADEMY,MARICOPA,54,1.0
CAMP VERDE ELEMENTARY SCHOOL,YAVAPAI,99,0.707
CAMPO BELLO ELEMENTARY SCHOOL,MARICOPA,61,0.902
CANDEO SCHOOLS,MARICOPA,80,0.55
CANYON BREEZE ELEMENTARY,MARICOPA,63,0.921
CANYON DE CHELLY ELEMENTARY SCHOOL,APACHE,33,1.0
CANYON ELEMENTARY SCHOOL,MARICOPA,29,0.966
CANYON RIDGE ELEMENTARY,MARICOPA,91,0.835
CANYON RIM ELEMENTARY,MARICOPA,131,0.924
CANYON SPRINGS,MARICOPA,59,0.797
CANYON VIEW ELEMENTARY SCHOOL,PIMA,47,1.0
CAPITOL ELEMENTARY SCHOOL,MARICOPA,34,0.912
CAPPS MIDDLE SCHOOL (GR 4-6),NAVAJO,41,0.439
CARMICHAEL ELEMENTARY SCHOOL,COCHISE,48,0.917
CARMINATI SCHOOL,MARICOPA,48,0.979
CAROL G. PECK ELEMENTARY SCHOOL,MARICOPA,71,0.873
